property_id,host_id,guest_id,total_listings,availability,neighbourhood,type,price,amenities,booked_nights,stay_nights,propery_reviews,last_review,complaint
550021,492575,756626,1,267,Westerpark,Entire home,221,[Wifi; Kitchen; Smoke alarm; Washer; TV; Dedicated workspace; ],6,6,4,19--December--2021,0
550027,335147,795719,1,228,De Baarsjes - Oud-West,Entire home,238,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hangers; Dishes and silverware; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Oven; Private entrance; Dishwasher; Stove; TV; Luggage dropoff allowed; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Room-darkening shades; Body soap; Drying rack for clothing; Outdoor dining area; Nespresso machine; Central heating; Conditioner; Baking sheet; Board games; Clothing storage; Sound system; ],3,3,4,15--May--2022,0
550104,459058,512765,1,335,Oostelijk Havengebied - Indische Buurt,Entire home,470,[Towels; Wifi; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Dishes and silverware; Long term stays allowed; Coffee maker; Shampoo; Cooking basics; Washer; First aid kit; TV; Dryer; Cleaning products; Dedicated workspace; Central heating; EV charger; Clothing storage; ],3,3,3,5--June--2022,0
550232,319924,783442,1,53,Centrum-West,Entire home,231,[Wifi; Kitchen; Smoke alarm; Long term stays allowed; Washer; Fire extinguisher; First aid kit; TV; Dedicated workspace; ],3,2,2,3--April--2022,1
550414,290692,796718,1,33,Noord-West,Entire home,322,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hangers; Dishes and silverware; Refrigerator; Coffee maker; Iron; Cooking basics; Washer; Carbon monoxide alarm; Fire extinguisher; Oven; First aid kit; Private entrance; Dishwasher; Microwave; Stove; TV; Dryer; Luggage dropoff allowed; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Bathtub; Body soap; Outdoor dining area; Lockbox; Backyard; Free parking on premises; Portable fans; Toaster; BBQ grill; Free street parking; Ethernet connection; Central heating; Free dryer; Garden or backyard; Clothing storage; Barbecue utensils; Cleaning before checkout; Bikes; Netflix; Game console; Sound system; Stainless steel oven; Fire pit; ],2,2,1,29--May--2022,1
550937,419693,586629,3,203,Centrum-West,Private room,228,[Towels; Wifi; Heating; Hair dryer; Long term stays allowed; TV; Dryer; ],1,1,11,10--May--2022,0
551120,346985,620015,1,80,Westerpark,Private room,117,[Wifi; Kitchen; Smoke alarm; Dishes and silverware; Refrigerator; Coffee maker; Washer; Carbon monoxide alarm; Fire extinguisher; TV; Host greets you; Patio or balcony; Lock on bedroom door; ],2,2,5,25--May--2022,0
552254,284192,534100,1,245,Oostelijk Havengebied - Indische Buurt,Entire home,199,[Towels; Wifi; Bed linens; Kitchen; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Fire extinguisher; Oven; First aid kit; Private entrance; Dishwasher; Microwave; Stove; TV; Extra pillows and blankets; Dryer; Luggage dropoff allowed; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Body soap; Waterfront; Drying rack for clothing; Outdoor dining area; Toaster; High chair; Central heating; Conditioner; Board games; Free washer ; Street parking; Free dryer; Clothing storage; Cleaning before checkout; Baby bath; Safe; Baby safety gates; Sound system; Stainless steel oven; Premium cable; ],5,5,2,6--January--2022,0
552338,230307,661907,1,124,Osdorp,Entire home,179,[Towels; Wifi; Bed linens; Kitchen; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Oven; Dishwasher; Microwave; TV; Extra pillows and blankets; Dryer; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Freezer; Bathtub; Body soap; Drying rack for clothing; Outdoor dining area; Toaster; Free street parking; Nespresso machine; Central heating; Conditioner; Elevator; Free dryer; Clothing storage; Safe; ],2,2,1,11--April--2022,0
552506,478792,641572,1,177,Oud-Noord,Entire home,249,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Fire extinguisher; Oven; First aid kit; Dishwasher; Stove; TV; Extra pillows and blankets; Dryer; Luggage dropoff allowed; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Bathtub; Body soap; Waterfront; Drying rack for clothing; Laundromat nearby; Outdoor dining area; Toaster; High chair; Central heating; Conditioner; Baking sheet; Crib; Street parking; Free dryer; Travel crib; Babysitter recommendations; Cleaning before checkout; Baby bath; Netflix; Changing table; Safe; Baby safety gates; Sound system; Stainless steel oven; Fire pit; Boat slip; Premium cable; ],4,4,2,16--January--2022,0
